Title,Genre,Premiere,Seasons,Runtime,Status,Language
Kleo,Thriller,"August 19, 2022","2 seasons, 14 episodes",41–56 min,Pending,German
The Empress,Historical drama,"September 29, 2022","1 season, 6 episodes",51–61 min,Season 2 due to premiere in 2024[81][82],German
Crooks,Crime drama,"April 4, 2024","1 season, 8 episodes",39–66 min,Renewed[83],German
,,,,,,German
Murder Mindfully[84][79],Dark comedy,"October 31, 2024[85]",8 episodes,TBA,Miniseries,German
Delhi Crime,Police procedural,"March 22, 2019","2 seasons, 12 episodes",36–64 min,Renewed[86],Hindi
She,Crime drama,"March 20, 2020","2 seasons, 14 episodes",31–51 min,Season 3 due to premiere in 2024[87][86],Hindi
Mismatched,Romantic comedy,"November 20, 2020","2 seasons, 14 episodes",29–42 min,Renewed[86],Hindi
Yeh Kaali Kaali Ankhein,Romantic thriller,"January 14, 2022","1 season, 8 episodes",31–51 min,Renewed[88],Hindi
Class,Teen crime thriller,"February 3, 2023","1 season, 8 episodes",47–58 min,Renewed[89],Hindi
Rana Naidu,Crime drama,"March 10, 2023","1 season, 10 episodes",39–50 min,Renewed[90],Hindi
Guns & Gulaabs,Crime comedy thriller,"August 18, 2023","1 season, 7 episodes",44–81 min,Renewed[91],Hindi
Kaala Paani,Drama,"October 18, 2023","1 season, 7 episodes",57–70 min,Renewed[92],Hindi
Killer Soup,Dark comedy/Crime thriller,"January 11, 2024","1 season, 8 episodes",43–59 min,Pending,Hindi
Maamla Legal Hai,Legal comedy drama,"March 1, 2024","1 season, 8 episodes",27–38 min,Renewed[93],Hindi
Heeramandi: The Diamond Bazaar,Romantic drama,"May 1, 2024","1 season, 8 episodes",46–67 min,Renewed[94],Hindi
Tribhuvan Mishra CA Topper,Dark comedy,"July 18, 2024","1 season, 9 episodes",44–67 min,Pending,Hindi
Cigarette Girl,Period drama,"November 2, 2023","1 season, 5 episodes",58–74 min,Pending,Indonesian
Comedy Chaos,Sitcom,"February 16, 2024","1 season, 10 episodes",27–34 min,Pending,Indonesian
Joko Anwar's Nightmares and Daydreams,Science fiction anthology,"June 14, 2024","1 season, 7 episodes",46–62 min,Pending,Indonesian
Di4ries,Coming-of-age,"May 18, 2022","2 seasons, 29 episodes",24–52 min,Pending,Italian
Everything Calls for Salvation,Drama,"October 14, 2022","1 season, 7 episodes",42–49 min,"Season 2 due to premiere on September 26, 2024[95]",Italian
I Hate Christmas,Comedy,"December 7, 2022","2 seasons, 12 episodes",28–39 min,Pending,Italian
The Law According to Lidia Poët,Period legal drama,"February 15, 2023","1 season, 6 episodes",44–52 min,Season 2 due to premiere in 2024[96][97][98],Italian
Suburræterna,Crime drama,"November 14, 2023","1 season, 8 episodes",40–49 min,Pending,Italian
Supersex,Biopic,"March 6, 2024","1 season, 7 episodes",42–55 min,Pending,Italian
Brigands: The Quest for Gold,Historical drama,"April 23, 2024","1 season, 6 episodes",39–58 min,Pending,Italian
,,,,,,Italian
Deceitful Love[99][100],Romantic drama,"October 9, 2024[101][102]",TBA,TBA,Miniseries,Italian
Alice in Borderland,Fantasy thriller,"December 10, 2020","2 seasons, 16 episodes",41–80 min,Renewed[103],Japanese
YuYu Hakusho,Fantasy action-adveture,"December 14, 2023","1 season, 5 episodes",44–55 min,Pending,Japanese
House of Ninjas,Action thriller,"February 15, 2024","1 season, 8 episodes",51–55 min,Pending,Japanese
Tokyo Swindlers,Crime thriller,"July 25, 2024","1 season, 7 episodes",37–66 min,Pending,Japanese
Chastity High,Teen drama,"August 29, 2024","1 season, 8 episodes",44–54 min,Pending,Japanese
,,,,,,Japanese
The Queen of Villains[104],Sports drama,"September 19, 2024[105]",TBA,TBA,Pending,Japanese
Beyond Goodbye[106],Romantic drama,"November 14, 2024[107][108]",TBA,TBA,Pending,Japanese
Squid Game,Survival thriller,"September 17, 2021","1 season, 9 episodes",32–63 min,"Season 2 due to premiere on December 26, 2024[109]Final season due to premiere in 2025[109]",Korean
Hellbound,Supernatural drama,"November 19, 2021","1 season, 6 episodes",42–60 min,Season 2 due to premiere in 2024[110][111],Korean
All of Us Are Dead,Zombie apocalypse,"January 28, 2022","1 season, 12 episodes",53–71 min,Renewed[112],Korean
Bloodhounds,Action drama,"June 9, 2023","1 season, 8 episodes",54–74 min,Renewed[113],Korean
Song of the Bandits,Period action drama,"September 22, 2023","1 season, 9 episodes",48–69 min,Pending,Korean
Doona!,Coming-of-age romantic drama,"October 20, 2023","1 season, 9 episodes",42–49 min,Pending,Korean
Daily Dose of Sunshine,Medical comedy drama,"November 3, 2023","1 season, 12 episodes",52–72 min,Pending,Korean
Gyeongseong Creature,Historical thriller,"December 22, 2023","1 season, 10 episodes",64–78 min,"Season 2 due to premiere on September 27, 2024[114][115][111]",Korean
A Killer Paradox,Crime thriller dark comedy,"February 9, 2024","1 season, 8 episodes",45–63 min,Pending,Korean
The Victims' Game,Thriller,"April 30, 2020","2 seasons, 16 episodes",51–67 min,Pending,Mandarin
At the Moment,Romantic drama/anthology,"November 10, 2023","1 season, 10 episodes",46–58 min,Pending,Mandarin
Let's Talk About CHU,Romantic comedy,"February 2, 2024","1 season, 8 episodes",43–58 min,Pending,Mandarin
GG Precinct,Crime comedy,"August 22, 2024","1 season, 6 episodes",38–50 min,Pending,Mandarin
,,,,,,Mandarin
Born for the Spotlight[116],Drama,"November 7, 2024[117]","1 season, 12 episodes",TBA,Pending,Mandarin
The Green Glove Gang,Dark comedy,"October 19, 2022","2 seasons, 16 episodes",28–38 min,Pending,Polish
Absolute Beginners,Romantic drama,"October 25, 2023","1 season, 6 episodes",45–47 min,Pending,Polish
Feedback,Drama,"November 15, 2023","1 season, 5 episodes",43–55 min,Pending,Polish
1670,Comedy,"December 13, 2023","1 season, 8 episodes",29–37 min,Renewed[118],Polish
Detective Forst,Crime drama,"January 11, 2024","1 season, 6 episodes",41–45 min,Pending,Polish
The Green Glove Gang,Dark comedy,"October 19, 2022","2 seasons, 16 episodes",28–38 min,Pending,Portuguese
Absolute Beginners,Romantic drama,"October 25, 2023","1 season, 6 episodes",45–47 min,Pending,Portuguese
Feedback,Drama,"November 15, 2023","1 season, 5 episodes",43–55 min,Pending,Portuguese
1670,Comedy,"December 13, 2023","1 season, 8 episodes",29–37 min,Renewed[118],Portuguese
Detective Forst,Crime drama,"January 11, 2024","1 season, 6 episodes",41–45 min,Pending,Portuguese
Valeria,Comedy drama,"May 8, 2020","3 seasons, 24 episodes",37–46 min,Renewed for final season[124],Spanish
Alpha Males,Comedy,"December 30, 2022","2 seasons, 20 episodes",30–40 min,Renewed for seasons 3–4[125][126],Spanish
The Snow Girl,Thriller,"January 27, 2023","1 season, 6 episodes",42–49 min,Renewed[127],Spanish
Eva Lasting,Romantic drama,"February 15, 2023","2 seasons, 23 episodes",36–50 min,Renewed[128],Spanish
Community Squad,Comedy,"February 17, 2023","1 season, 8 episodes",23–29 min,Renewed[129],Spanish
Pact of Silence,Telenovela,"October 11, 2023","1 season, 18 episodes",35–43 min,Pending,Spanish
Nothing to See Here,Comedy drama,"November 17, 2023","1 season, 8 episodes",22–27 min,Renewed[130],Spanish
The Influencer,Drama,"December 13, 2023","1 season, 60 episodes",45–61 min,Pending,Spanish
Cindy la Regia: The High School Years,Coming-of-age,"December 20, 2023","1 season, 7 episodes",24–32 min,Pending,Spanish
The Manny,Comedy,"December 24, 2023","1 season, 10 episodes",30–41 min,Renewed[131],Spanish
Berlin,Heist crime drama,"December 29, 2023","1 season, 8 episodes",42–60 min,Renewed[132],Spanish
Baby Bandito,Heist drama,"January 31, 2024","1 season, 8 episodes",34–43 min,Pending,Spanish
Bandidos,Heist drama,"March 13, 2024","1 season, 7 episodes",41–50 min,Pending,Spanish
Iron Reign,Thriller,"March 15, 2024","1 season, 8 episodes",47–72 min,Pending,Spanish
The Hijacking of Flight 601,Drama,"April 10, 2024","1 season, 6 episodes",44–59 min,Pending,Spanish
Raising Voices,Teen drama,"May 31, 2024","1 season, 8 episodes",41–48 min,Pending,Spanish
Gangs of Galicia,Crime drama,"June 21, 2024","1 season, 7 episodes",41–56 min,Pending,Spanish
The Accident,Drama,"August 21, 2024","1 season, 10 episodes",40–50 min,Pending,Spanish
Breathless,Medical drama,"August 30, 2024","1 season, 8 episodes",40–51 min,Pending,Spanish
,,,,,,Spanish
Envious[133][134],Comedy,"September 18, 2024[135]",TBA,TBA,Pending,Spanish
We Were Kings[136],Drama,"September 25, 2024",TBA,TBA,Pending,Spanish
Barracuda Queens,Heist crime drama,"June 5, 2023","1 season, 6 episodes",31–34 min,Season 2 due to premiere in 2025[137][138],Swedish
Tore,Coming-of-age comedy drama,"October 27, 2023","1 season, 6 episodes",29–34 min,Pending,Swedish
,,,,,,Swedish
The Helicopter Heist[139],Heist drama,"November 22, 2024[140]",TBA,TBA,Pending,Swedish
Analog Squad,Family drama,"December 7, 2023","1 season, 8 episodes",55–70 min,Pending,Thai
"Ready, Set, Love",Romantic mystery comedy,"February 15, 2024","1 season, 6 episodes",63–79 min,Pending,Thai
The Believers,Crime drama,"March 27, 2024","1 season, 9 episodes",37–59 min,Renewed[141],Thai
Doctor Climax,Comedy drama,"June 13, 2024","1 season, 8 episodes",48–65 min,Pending,Thai
Master of the House,Drama,"July 18, 2024","1 season, 7 episodes",44–62 min,Pending,Thai
Terror Tuesday: Extreme,Horror anthology,"August 20, 2024","1 season, 8 episodes",38–46 min,Pending,Thai
Midnight at the Pera Palace,Drama,"March 3, 2022","1 season, 8 episodes",40–47 min,"Season 2 due to premiere on September 12, 2024[142][143]",Turkish
The Life and Movies of Erşan Kuneri,Sitcom,"May 13, 2022","1 season, 8 episodes",38–56 min,Renewed[144],Turkish
Another Self,Drama,"July 28, 2022","2 seasons, 16 episodes",45–67 min,Pending,Turkish
Shahmaran,Fantasy,"January 20, 2023","2 seasons, 14 episodes",43–59 min,Pending,Turkish
The Tailor,Mystery,"May 2, 2023","3 seasons, 23 episodes",28–48 min,Pending,Turkish
Kübra,Thriller,"January 18, 2024","2 seasons, 16 episodes",37–49 min,Pending,Turkish
A Round of Applause,Drama,"February 29, 2024","1 season, 6 episodes",26–37 min,Pending,Turkish
"Thank You, Next",Romantic comedy,"May 9, 2024","1 season, 8 episodes",37–51 min,Renewed[145],Turkish
Baby Fever,Romantic comedy drama,"June 8, 2022","2 seasons, 12 episodes",27–35 min,Pending,Danish
Kohrra,Crime drama,"July 15, 2023","1 season, 6 episodes",44–50 min,Renewed[146],Punjabi
Ferry: The Series,Crime drama,"November 3, 2023","1 season, 8 episodes",36–51 min,Pending,Dutch
Olóládé,Comedy,"November 24, 2023","1 season, 6 episodes",36–50 min,Pending,Yoruba
Replacing Chef Chico,Drama,"November 24, 2023","1 season, 8 episodes",32–36 min,Pending,Filipino
Aníkúlápó: Rise of the Spectre,Drama,"March 1, 2024","1 season, 6 episodes",54–74 min,Pending,Yoruba
Bros,Comedy drama,"April 18, 2024","1 season, 8 episodes",29–43 min,Pending,Hebrew
,,,,,,
Billionaire Island[147],Drama,"September 12, 2024[148]",TBA,TBA,Pending,Norwegian
Blood Legacy[149],Drama,"September 20, 2024",TBA,TBA,Pending,Zulu
The Toys That Made Us,Toy industry,"December 22, 2017","3 seasons, 12 episodes",43–51 min,Renewed for seasons 4–5[150],English
Somebody Feed Phil,Travel,"January 12, 2018","7 seasons, 41 episodes",32–63 min,Renewed[151],English
Formula 1: Drive to Survive,Sports,"March 8, 2019","6 seasons, 60 episodes",27–51 min,Pending,English
High on the Hog: How African American Cuisine Transformed America,Food/history,"May 26, 2021","2 seasons, 8 episodes",45–58 min,Pending,English
Worst Roommate Ever,True crime,"March 1, 2022","2 seasons, 9 episodes",39–62 min,Pending,English
Full Swing,Sports,"February 15, 2023","2 seasons, 16 episodes",39–49 min,Pending,English
Missing: Dead or Alive?,True crime,"May 10, 2023","1 season, 4 episodes",31–67 min,Renewed[152],English
Encounters,Extraterrestrials,"September 27, 2023","1 season, 4 episodes",44–52 min,Pending,English
Vasco Rossi: Living It,Music/biography,"September 27, 2023","1 season, 5 episodes",44–53 min,Pending,Italian
Get Gotti,True crime,"October 24, 2023","1 season, 3 episodes",46–57 min,Pending,English
Life on Our Planet,Nature,"October 25, 2023","1 season, 8 episodes",41–55 min,Renewed[153],English
Mysteries of the Faith,Religion,"November 1, 2023","1 season, 4 episodes",38–44 min,Pending,English
Escaping Twin Flames,Cults,"November 8, 2023","1 season, 3 episodes",57–58 min,Pending,English
How to Become a Mob Boss,Organized crime,"November 14, 2023","1 season, 6 episodes",28–33 min,Pending,English
Bad Surgeon: Love Under the Knife,True crime,"November 29, 2023","1 season, 3 episodes",48–58 min,Pending,English
World War II: From the Frontlines,History,"December 7, 2023","1 season, 6 episodes",42–56 min,Pending,English
If I Were Luísa Sonza,Music,"December 13, 2023","1 season, 3 episodes",33–43 min,Pending,Portuguese
Captains of the World,Sports,"December 30, 2023","1 season, 6 episodes",41–55 min,Pending,English
American Nightmare,True crime,"January 17, 2024","1 season, 3 episodes",43–46 min,Pending,English
Six Nations: Full Contact,Sports,"January 24, 2024","1 season, 8 episodes",33–47 min,Pending,English
NASCAR: Full Speed,Sports,"January 30, 2024","1 season, 5 episodes",44–50 min,Pending,English
Alexander: The Making of a God,History,"January 31, 2024","1 season, 6 episodes",37–44 min,Pending,English
American Conspiracy: The Octopus Murders,True crime,"February 28, 2024","1 season, 4 episodes",48–67 min,Pending,English
The Indrani Mukerjea Story: Buried Truth,True crime,"February 29, 2024","1 season, 4 episodes",44–50 min,Pending,English
ARA San Juan: The Submarine That Disappeared,History,"March 7, 2024","1 season, 8 episodes",24–31 min,Pending,Spanish
Turning Point: The Bomb and the Cold War,History,"March 12, 2024","1 season, 9 episodes",64–79 min,Pending,English
From Dreams to Tragedy: The Fire That Shook Brazilian Football,Sports,"March 14, 2024","1 season, 3 episodes",34–42 min,Pending,Portuguese
Homicide,True crime,"March 20, 2024","2 seasons, 10 episodes",49–59 min,Pending,English
Testament: The Story of Moses,History/Religion,"March 27, 2024","1 season, 3 episodes",81–88 min,Pending,English
Crime Scene Berlin: Nightlife Killer,True crime,"April 3, 2024","1 season, 3 episodes",34–37 min,Pending,German
Files of the Unexplained,Paranormal,"April 3, 2024","1 season, 8 episodes",30–48 min,Pending,English
"Ashley Madison: Sex, Lies & Scandal",True crime,"May 15, 2024","1 season, 3 episodes",49–53 min,Pending,English
Toughest Forces on Earth,Military,"May 22, 2024","1 season, 8 episodes",39–42 min,Pending,English
Dancing for the Devil: The 7M TikTok Cult,True crime,"May 29, 2024","1 season, 3 episodes",49–58 min,Pending,English
Hitler and the Nazis: Evil on Trial,History,"June 5, 2024","1 season, 6 episodes",59–66 min,Pending,English
America's Sweethearts: Dallas Cowboys Cheerleaders,Sports,"June 20, 2024","1 season, 7 episodes",52–60 min,Pending,English
Kaulitz & Kaulitz,Music,"June 25, 2024","1 season, 8 episodes",38–50 min,Renewed[154],German
Sprint,Sports,"July 2, 2024","1 season, 6 episodes",33–48 min,"Season 2 due to premiere on November 13, 2024[155]",English
Receiver,Sports,"July 10, 2024","1 season, 8 episodes",52–62 min,Pending,English
LALIGA: All Access,Sports,"July 15, 2024","1 season, 8 episodes",43–52 min,Pending,Spanish
Simone Biles: Rising,Sports,"July 17, 2024","1 season, 2 episodes",49–55 min,"New episodes due to premiere on October 25, 2024[156]",English
American Murder: Laci Peterson,True crime,"August 14, 2024","1 season, 3 episodes",51–54 min,Pending,English
Pop Star Academy: KATSEYE,Music,"August 21, 2024","1 season, 8 episodes",50–55 min,Pending,English
Wyatt Earp and the Cowboy War,Docudrama/History,"August 21, 2024","1 season, 6 episodes",30–49 min,Pending,English
Worst Ex Ever,True crime,"August 28, 2024","1 season, 4 episodes",51–63 min,Pending,English
,,,,,,
Caught in the Web: The Murders Behind Zona Divas[157],True crime,"September 5, 2024",TBA,TBA,Miniseries,Spanish
Jack Whitehall: Fatherhood with My Father[158],Travel,"September 10, 2024[159]",TBA,TBA,Pending,English
Ángel Di María: Breaking Down the Wall[160][161],Sports,"September 12, 2024","1 season, 3 episodes[135]",TBA,Pending,Spanish
Into the Fire: The Lost Daughter[162],True crime,"September 12, 2024","1 season, 2 episodes",TBA,Pending,English
What's Next? The Future with Bill Gates[163],Science/Technology,"September 18, 2024",5 episodes,TBA,Miniseries,English
Mr. McMahon[164],Sports,"September 25, 2024",6 episodes,TBA,Miniseries,English
Starting 5[165],Sports,"October 9, 2024[166]",TBA,TBA,Pending,English
Queer Eye,Makeover reality,"February 7, 2018","8 seasons, 65 episodes",43–56 min,Renewed[167],English
Car Masters: Rust to Riches,Reality,"September 14, 2018","5 seasons, 40 episodes",31–43 min,Pending,English
Selling Sunset,Reality,"March 22, 2019","7 seasons, 68 episodes",25–80 min,"Season 8 due to premiere on September 6, 2024[6][168]",English
Rhythm + Flow,Music competition,"October 9, 2019","1 season, 10 episodes",51–69 min,Season 2 due to premiere in 2024[6][169],English
The Circle,Reality competition,"January 1, 2020","6 seasons, 77 episodes",43–63 min,"Season 7 due to premiere on September 11, 2024[170][171]",English
Love Is Blind,Dating show,"February 13, 2020","6 seasons, 83 episodes",31–97 min,Renewed[172],English
Too Hot to Handle,Dating show,"April 17, 2020","6 seasons, 59 episodes",32–60 min,Pending,English
Barbecue Showdown,Cooking competition,"September 18, 2020","3 seasons, 24 episodes",38–48 min,Pending,English
